Cities,lat,lng,admin_name
Delhi,28.6667,77.2167,Delhi
Mumbai,19.0758,72.8775,Mahārāshtra
Kolkata,22.5727,88.3639,West Bengal
Bangalore,12.9791,77.5913,Karnātaka
Chennai,13.0825,80.2750,Tamil Nādu
Hyderabad,17.3617,78.4747,Telangana
Pune,18.5196,73.8553,Mahārāshtra
Ahmedabad,23.0300,72.5800,Gujarāt
Allahabad,25.4500,81.8500,Uttar Pradesh
Surat,21.1700,72.8300,Gujarāt
Lucknow,26.8470,80.9470,Uttar Pradesh
Jaipur,26.9167,75.8667,Rājasthān
Cawnpore,26.4725,80.3311,Uttar Pradesh
Mirzapur,25.1500,82.5800,Uttar Pradesh
Nagpur,21.1539,79.0831,Mahārāshtra
Ghaziabad,28.6667,77.4167,Uttar Pradesh
Vadodara,22.3000,73.2000,Gujarāt
Vishakhapatnam,17.7333,83.3167,Andhra Pradesh
Indore,22.7206,75.8472,Madhya Pradesh
Thane,19.1800,72.9633,Mahārāshtra
Bhopal,23.2500,77.4167,Madhya Pradesh
Patna,25.6100,85.1414,Bihār
Bilaspur,22.1500,82.0167,Chhattīsgarh
Ludhiana,30.9083,75.8486,Punjab
Agra,27.1724,78.0131,Uttar Pradesh
Kalyan,19.2502,73.1602,Mahārāshtra
Madurai,9.9197,78.1194,Tamil Nādu
Jamshedpur,22.8000,86.1833,Jharkhand
Nasik,20.0000,73.7833,Mahārāshtra
Faridabad,28.4353,77.3147,Haryāna
Aurangabad,19.8800,75.3200,Mahārāshtra
Rajkot,22.2969,70.7984,Gujarāt
Meerut,28.9900,77.7000,Uttar Pradesh
Jabalpur,23.1667,79.9333,Madhya Pradesh
Dhanbad,23.7928,86.4350,Jharkhand
Varanasi,25.3189,83.0128,Uttar Pradesh
Srinagar,34.0911,74.8061,Jammu and Kashmīr
Amritsar,31.6269,74.8770,Punjab
Aligarh,27.8800,78.0800,Uttar Pradesh
Guwahati,26.1722,91.7458,Assam
Bhilai,21.2186,81.4314,Chhattīsgarh
Haora,22.5736,88.3251,West Bengal
Ranchi,23.3556,85.3347,Jharkhand
Gwalior,26.2150,78.1931,Madhya Pradesh
Bezwada,16.5167,80.6167,Andhra Pradesh
Chandigarh,30.7353,76.7911,Chandīgarh
Jodhpur,26.2944,73.0278,Rājasthān
Mysore,12.3086,76.6531,Karnātaka
Raipur,21.2379,81.6337,Chhattīsgarh
Kota,25.1800,75.8300,Rājasthān
New Delhi,28.6139,77.2090,Delhi
Bareilly,28.3640,79.4150,Uttar Pradesh
Coimbatore,11.0000,76.9667,Tamil Nādu
Solapur,17.6715,75.9104,Mahārāshtra
Trichinopoly,10.8269,78.6928,Tamil Nādu
Hubli,15.3619,75.1231,Karnātaka
Jalandhar,31.3256,75.5792,Punjab
Bhubaneshwar,20.2644,85.8281,Odisha
Moradabad,28.8437,78.7548,Uttar Pradesh
Kolhapur,16.7000,74.2333,Mahārāshtra
Thiruvananthapuram,8.5000,76.8997,Kerala
Bhiwandi,19.3000,73.0667,Mahārāshtra
Saharanpur,29.9640,77.5460,Uttar Pradesh
Warangal,17.9756,79.6011,Telangana
Salem,11.6500,78.1667,Tamil Nādu
Malegaon,20.5500,74.5500,Mahārāshtra
Kochi,9.9667,76.2833,Kerala
Gorakhpur,26.7611,83.3667,Uttar Pradesh
Shimoga,13.9167,75.5667,Karnātaka
Guntur,16.3000,80.4500,Andhra Pradesh
Tiruppur,11.1075,77.3398,Tamil Nādu
Raurkela,22.2492,84.8828,Odisha
Mangalore,12.8703,74.8806,Karnātaka
Nanded,19.1700,77.3000,Mahārāshtra
Cuttack,20.4650,85.8793,Odisha
Tumkur,13.3422,77.1017,Karnātaka
Chanda,19.9500,79.3000,Mahārāshtra
Dehra Dun,30.3180,78.0290,Uttarakhand
Durgapur,23.5500,87.3200,West Bengal
Asansol,23.6833,86.9667,West Bengal
Bhavnagar,21.7650,72.1369,Gujarāt
Nellore,14.4333,79.9667,Andhra Pradesh
Amravati,20.9333,77.7500,Mahārāshtra
Ajmer,26.4680,74.6390,Rājasthān
Tinnevelly,8.7289,77.7081,Tamil Nādu
Bikaner,28.0181,73.3169,Rājasthān
Agartala,23.8333,91.2667,Tripura
Ujjain,23.1828,75.7772,Madhya Pradesh
Ulhasnagar,19.2167,73.1500,Mahārāshtra
Jhansi,25.4486,78.5696,Uttar Pradesh
Davangere,14.4667,75.9167,Karnātaka
Jammu,32.7333,74.8500,Jammu and Kashmīr
Belgaum,15.8667,74.5000,Karnātaka
Gulbarga,17.3333,76.8333,Karnātaka
Jamnagar,22.4700,70.0700,Gujarāt
Dhulia,20.9000,74.7833,Mahārāshtra
Gaya,24.7500,85.0167,Bihār
Jalgaon,21.0167,75.5667,Mahārāshtra
Kurnool,15.8222,78.0350,Andhra Pradesh
Udaipur,24.5833,73.6833,Rājasthān
Bellary,15.1500,76.9150,Karnātaka
Sangli,16.8667,74.5667,Mahārāshtra
Tuticorin,8.7833,78.1333,Tamil Nādu
Calicut,11.2500,75.7667,Kerala
Akola,20.7333,77.0000,Mahārāshtra
Bhagalpur,25.2500,87.0167,Bihār
Quilon,8.8853,76.5864,Kerala
Sikar,27.6119,75.1397,Rājasthān
Bhatpara,22.8667,88.4167,West Bengal
Kakinada,16.9333,82.2167,Andhra Pradesh
Bhilwara,25.3500,74.6333,Rājasthān
Nizamabad,18.6704,78.1000,Telangana
Panihati,22.6900,88.3700,West Bengal
Parbhani,19.2704,76.7600,Mahārāshtra
Rohtak,28.9000,76.5667,Haryāna
Latur,18.4004,76.5700,Mahārāshtra
Rajapalaiyam,9.4204,77.5800,Tamil Nādu
Ahmadnagar,19.0833,74.7333,Mahārāshtra
Rajahmundry,16.9833,81.7833,Andhra Pradesh
Cuddapah,14.4667,78.8167,Andhra Pradesh
Muzaffarpur,26.1200,85.3833,Bihār
Alwar,27.5667,76.6167,Rājasthān
Brahmapur,19.3200,84.8000,Odisha
Kamarhati,22.6700,88.3700,West Bengal
Mathura,27.5035,77.6722,Uttar Pradesh
Patiala,30.3204,76.3850,Punjab
Saugor,23.8300,78.7100,Madhya Pradesh
Bijapur,16.8244,75.7154,Karnātaka
Shahjanpur,27.8804,79.9050,Uttar Pradesh
Junagadh,21.5200,70.4700,Gujarāt
Trichur,10.5200,76.2100,Kerala
Barddhaman,23.2500,87.8500,West Bengal
Purnea,25.7800,87.4700,Bihār
Sambalpur,21.4704,83.9701,Odisha
Firozabad,27.1500,78.3949,Uttar Pradesh
Hisar,29.1489,75.7367,Haryāna
Rampur,28.7880,79.0190,Uttar Pradesh
Bali,22.6500,88.3400,West Bengal
Panipat,29.3833,76.9667,Haryāna
Aizawl,23.7333,92.7167,Mizoram
Karimnagar,18.4333,79.1500,Telangana
Bhuj,23.2504,69.8100,Gujarāt
Ichalkaranji,16.7000,74.4700,Mahārāshtra
Hospet,15.2667,76.4000,Karnātaka
Bhatinda,30.2133,74.9519,Punjab
Sannai,24.1600,80.8300,Madhya Pradesh
Barasat,22.7200,88.4800,West Bengal
Ratlam,23.3167,75.0667,Madhya Pradesh
Drug,21.1900,81.2800,Chhattīsgarh
Handwara,34.4000,74.2800,Jammu and Kashmīr
Imphal,24.8200,93.9500,Manipur
Anantapur,14.6833,77.6000,Andhra Pradesh
Etawah,26.7855,79.0150,Uttar Pradesh
Raichur,16.2000,77.3667,Karnātaka
Bharatpur,27.2172,77.4900,Rājasthān
Begusarai,25.4200,86.1300,Bihār
Sonipat,28.9958,77.0114,Haryāna
Shrirampur,22.7500,88.3400,West Bengal
Hapur,28.7437,77.7628,Uttar Pradesh
Ramgundam,18.8000,79.4500,Telangana
Uluberiya,22.4700,88.1100,West Bengal
Puducherry,11.9300,79.8300,Puducherry
Porbandar,21.6425,69.6047,Gujarāt
Vizianagaram,18.1167,83.4167,Andhra Pradesh
Pali,25.7725,73.3233,Rājasthān
Nadiad,22.7000,72.8700,Gujarāt
Nagercoil,8.1700,77.4300,Tamil Nādu
Karnal,29.6804,76.9700,Haryāna
Puri,19.8000,85.8167,Odisha
Tanjore,10.8000,79.1500,Tamil Nādu
Secunderabad,17.4500,78.5000,Telangana
Sambhal,28.5800,78.5500,Uttar Pradesh
Shiliguri,26.7200,88.4200,West Bengal
Naihati,22.9000,88.4200,West Bengal
Shimla,31.1033,77.1722,Himāchal Pradesh
Kharagpur,22.3302,87.3237,West Bengal
Dindigul,10.3690,77.9804,Tamil Nādu
Ingraj Bazar,25.0000,88.1500,West Bengal
Ongole,15.5000,80.0500,Andhra Pradesh
Ellore,16.7117,81.1031,Andhra Pradesh
Haldia,22.0300,88.0600,West Bengal
Gurgaon,28.4500,77.0200,Haryāna
Bulandshahr,28.4000,77.8500,Uttar Pradesh
Baharampur,24.1000,88.2500,West Bengal
Chakradharpur,22.7000,85.6300,Jharkhand
Madhyamgram,22.7000,88.4500,West Bengal
Burhanpur,21.3000,76.2267,Madhya Pradesh
Khammam,17.2500,80.1500,Telangana
Bhiwani,28.7833,76.1333,Haryāna
Ghandinagar,23.2200,72.6800,Gujarāt
Hugli,22.9000,88.3900,West Bengal
Mahbubnagar,16.7333,77.9833,Telangana
Nandyal,15.5204,78.4800,Andhra Pradesh
Raiganj,25.6167,88.1167,West Bengal
Barakpur,22.7500,88.3667,West Bengal
Mahesana,23.6000,72.4000,Gujarāt
Batala,31.8186,75.2028,Punjab
Bhusaval,21.0200,75.8300,Mahārāshtra
Bahraigh,27.5742,81.5958,Uttar Pradesh
Tonk,26.1505,75.7900,Rājasthān
Sirsa,29.4904,75.0300,Haryāna
Jaunpur,25.7333,82.6833,Uttar Pradesh
Dam Dam,22.6200,88.4200,West Bengal
Madanapalle,13.5500,78.5000,Andhra Pradesh
Alleppey,9.5004,76.3700,Kerala
Vellore,12.9204,79.1500,Tamil Nādu
Titagarh,22.7400,88.3700,West Bengal
Chandannagar,22.8667,88.3833,West Bengal
Cuddalore,11.7500,79.7500,Tamil Nādu
Chirala,15.8200,80.3500,Andhra Pradesh
Deo,24.6561,84.4356,Bihār
Bidar,17.9000,77.5500,Karnātaka
Machilipatnam,16.1875,81.1389,Andhra Pradesh
Medinipur,22.4333,87.3333,West Bengal
Baramula,34.2000,74.3400,Jammu and Kashmīr
Fatehpur,25.8804,80.8000,Uttar Pradesh
Tenali,16.2430,80.6400,Andhra Pradesh
Udipi,13.3322,74.7461,Karnātaka
Sitalpur,27.6300,80.7500,Uttar Pradesh
Conjeeveram,12.8308,79.7078,Tamil Nādu
Proddatur,14.7300,78.5500,Andhra Pradesh
Navsari,20.8504,72.9200,Gujarāt
Godhra,22.7772,73.6203,Gujarāt
Budaun,28.0300,79.0900,Uttar Pradesh
Chittoor,13.2000,79.1167,Andhra Pradesh
Krishnanagar,23.4000,88.5000,West Bengal
Bharuch,21.6948,72.9805,Gujarāt
Saharsa,25.8800,86.6000,Bihār
Haripur,31.5200,75.9800,Punjab
Pathankot,32.2689,75.6497,Punjab
Vidisha,23.5239,77.8061,Madhya Pradesh
Nalgonda,17.0500,79.2700,Telangana
Balurghat,25.2167,88.7667,West Bengal
Dibrugarh,27.4833,95.0000,Assam
Veraval,20.9000,70.3700,Gujarāt
Fyzabad,26.7504,82.1700,Uttar Pradesh
Silchar,24.7904,92.7900,Assam
Shantipur,23.2500,88.4300,West Bengal
Hindupur,13.8300,77.4900,Andhra Pradesh
Erode,11.3428,77.7274,Tamil Nādu
Beawar,26.1011,74.3203,Rājasthān
Mauli,30.7194,76.7181,Punjab
Habra,22.8300,88.6300,West Bengal
Ambala,30.3786,76.7725,Haryāna
Etah,27.6300,78.6700,Uttar Pradesh
Shillong,25.5744,91.8789,Meghālaya
Kolar,13.1333,78.1333,Karnātaka
Bhimavaram,16.5333,81.5333,Andhra Pradesh
Mandsaur,24.0300,75.0800,Madhya Pradesh
Kumbakonam,10.9805,79.4000,Tamil Nādu
Chicacole,18.3000,83.9000,Andhra Pradesh
Tiruvannamalai,12.2604,79.1000,Tamil Nādu
Mandya,12.5242,76.8958,Karnātaka
Bankura,23.2500,87.0667,West Bengal
Gondia,21.4500,80.2000,Mahārāshtra
Hassan,13.0050,76.1028,Karnātaka
Pilibhit,28.6333,79.7667,Uttar Pradesh
Palghat,10.7792,76.6547,Kerala
Palakollu,16.5333,81.7333,Andhra Pradesh
Abohar,30.1204,74.2900,Punjab
Kanchrapara,22.9700,88.4300,West Bengal
Hanumangarh,29.5833,74.3167,Rājasthān
Hathras,27.6000,78.0500,Uttar Pradesh
Basirhat,22.6572,88.8942,West Bengal
Navadwip,23.4088,88.3657,West Bengal
Guntakal,15.1700,77.3800,Andhra Pradesh
Halisahar,22.9500,88.4200,West Bengal
Rishra,22.7100,88.3500,West Bengal
Baidyabati,22.7900,88.3200,West Bengal
Dharmavaram,14.4142,77.7150,Andhra Pradesh
Ghazipur,25.5833,83.5667,Uttar Pradesh
Puruliya,23.3333,86.3667,West Bengal
Darjeeling,27.0375,88.2631,West Bengal
Gudivada,16.4300,80.9900,Andhra Pradesh
Sopur,34.3000,74.4700,Jammu and Kashmīr
Adilabad,19.6667,78.5333,Telangana
Narasaraopet,16.2360,80.0540,Andhra Pradesh
Yavatmal,20.4000,78.1333,Mahārāshtra
Chittaurgarh,24.8894,74.6239,Rājasthān
Bansbaria,22.9700,88.4000,West Bengal
Siddipet,18.1000,78.8500,Telangana
Valparai,10.3204,76.9700,Tamil Nādu
Osmanabad,18.1667,76.0500,Mahārāshtra
Champdani,22.8000,88.3700,West Bengal
Khardah,22.7200,88.3800,West Bengal
Bangaon,23.0700,88.8200,West Bengal
Tadpatri,14.9097,78.0083,Andhra Pradesh
Islamabad,33.7300,75.1500,Jammu and Kashmīr
Jalpaiguri,26.5167,88.7333,West Bengal
Suriapet,17.1500,79.6167,Telangana
Tadepallegudem,16.8333,81.5000,Andhra Pradesh
Kalyani,22.9750,88.4344,West Bengal
Negapatam,10.7667,79.8333,Tamil Nādu
Bundi,25.4383,75.6372,Rājasthān
Bhadreswar,22.8200,88.3500,West Bengal
Chilakalurupet,16.0892,80.1672,Andhra Pradesh
Port Blair,11.6667,92.7500,Andaman and Nicobar Islands
Gangtok,27.3300,88.6200,Sikkim
Dhulian,24.6800,87.9700,West Bengal
Kohima,25.6667,94.1194,Nāgāland
Marmagao,15.4020,73.8000,Goa
Jangipur,24.4700,88.0700,West Bengal
Baj Baj,22.4828,88.1818,West Bengal
Tanuku,16.7500,81.7000,Andhra Pradesh
Siuri,23.9167,87.5333,West Bengal
Tamluk,22.3000,87.9167,West Bengal
Bankra,22.6300,88.3000,West Bengal
Nagari,13.3300,79.5800,Andhra Pradesh
Chakapara,22.6300,88.3500,West Bengal
Itanagar,27.1000,93.6200,Arunāchal Pradesh
Mundka,28.6794,77.0284,Delhi
Baruipur,22.3654,88.4325,West Bengal
Mandapeta,16.8700,81.9300,Andhra Pradesh
Bhimunipatnam,17.8864,83.4471,Andhra Pradesh
Pithapuram,17.1167,82.2667,Andhra Pradesh
Amalapuram,16.5833,82.0167,Andhra Pradesh
Bodupal,17.4139,78.5783,Telangana
Gobardanga,22.8700,88.7600,West Bengal
Diamond Harbour,22.1910,88.1905,West Bengal
Daman,20.4169,72.8340,Damān and Diu
Amudalavalasa,18.4167,83.9000,Andhra Pradesh
Kankuria,24.6580,87.9794,West Bengal
Pujali,22.4679,88.1452,West Bengal
Chittaranjan,23.8700,86.8700,West Bengal
Panaji,15.4800,73.8300,Goa
Kaippakancheri,10.9380,75.9870,Kerala
